Incident_ID,Timestamp,State,City,Industry,Organization,Attack_Type,Attack_Severity,Threat_Severity,Target_System,Security_Tools_Used,User_Role,Data_Compromised_GB,Attack_Duration_Min,Response_Time_Min,Financial_Loss_INR,Affected_Users,Mitigation_Method,Outcome,Reporting_Agency,Severity_Norm,Loss_Norm,Data_Norm,Users_Norm,Response_Norm,TSI_Score
1,2024-03-24 15:40:40,Andhra Pradesh,Visakhapatnam,Retail,Airtel,XSS,5,High,Payment Gateway,Fortinet FortiGate,HR Executive,6.72,282,213,920765,2620,Patch Applied,Mitigated,State Cyber Crime Cell,0.5,0.08748574263531983,0.08716577540106951,0.2615569341604963,0.7050847457627119,0.31
2,2025-11-13 10:51:23,Tamil Nadu,Salem,Healthcare,SBI,Insider Threat,3,Medium,HRMS,CrowdStrike Falcon,Employee,0.32,99,228,1606331,2334,Patch Applied,Contained,State Cyber Crime Cell,0.3,0.1563920836598238,0.0016042780748663102,0.232939763858315,0.7559322033898305,0.24
3,2025-08-20 03:22:22,Gujarat,Surat,Telecommunications,Airtel,Data Breach,10,High,Cloud Infrastructure,SentinelOne,Finance Manager,35.87,47,245,8892850,9258,Backup Restored,Contained,NCIIPC,1.0,0.8887611963280828,0.47687165775401064,0.9257554532719632,0.8135593220338984,0.84
4,2025-06-03 05:11:17,Kerala,Thiruvananthapuram,Telecommunications,Airtel,Phishing,7,High,Web Application,CrowdStrike Falcon,Database Administrator,51.43,543,253,4443739,2792,Backup Restored,Mitigated,NCIIPC,0.7,0.44158038540415734,0.6848930481283423,0.27876726035621374,0.8406779661016949,0.6
5,2024-05-26 20:22:07,Telangana,Hyderabad,Telecommunications,SBI,Insider Threat,8,High,Cloud Infrastructure,Sophos Intercept X,Network Engineer,29.2,26,177,8455513,983,MFA Enabled,Ongoing Investigation,Internal SOC,0.8,0.8448043891576084,0.3877005347593583,0.09775865519311587,0.5830508474576271,0.64
6,2024-12-11 06:04:44,Kerala,Thiruvananthapuram,Manufacturing,SBI,Phishing,8,High,Web Application,Palo Alto Cortex XDR,System Administrator,73.55,559,83,402468,4205,Backup Restored,Mitigated,NCIIPC,0.8,0.035391633776395474,0.9806149732620321,0.42015209125475284,0.26440677966101694,0.55
7,2024-10-02 18:49:30,Gujarat,Vadodara,Healthcare,HDFC Bank,Credential Theft,1,Low,Email Server,Cisco Secure Endpoint,Database Administrator,8.32,532,37,1282856,8960,Endpoint Isolation,Contained,State Cyber Crime Cell,0.1,0.12387956311052377,0.10855614973262034,0.8959375625375225,0.10847457627118644,0.19
8,2024-11-17 14:51:13,Maharashtra,Nagpur,Banking,LIC,Zero-Day Exploit,8,High,Web Application,Sophos Intercept X,Employee,2.67,352,292,2465653,6101,Network Isolation,Contained,CERT-In,0.8,0.2427626661885064,0.03302139037433155,0.6098659195517311,0.9728813559322034,0.51
9,2025-08-22 23:32:19,Kerala,Thiruvananthapuram,Retail,Wipro,Ransomware,7,High,File Server,Fortinet FortiGate,Network Engineer,40.41,681,79,2055988,2737,Endpoint Isolation,Ongoing Investigation,CERT-In,0.7,0.20158717586984498,0.537566844919786,0.27326395837502504,0.25084745762711863,0.46
10,2025-11-07 14:03:21,Karnataka,Hubballi,IT Services,Tech Mahindra,Phishing,8,High,Web Application,Cisco Secure Endpoint,Security Analyst,50.2,470,183,8721179,8438,Patch Applied,Mitigated,CERT-In,0.8,0.8715065184852236,0.6684491978609626,0.8437062237342405,0.6033898305084746,0.78
11,2024-03-13 02:58:40,Kerala,Thiruvananthapuram,Insurance,Infosys,SQL Injection,6,High,Payment Gateway,Splunk Enterprise Security,Database Administrator,17.02,358,296,771834,8205,Password Reset,Resolved,Internal SOC,0.6,0.07251666558785773,0.22486631016042782,0.8203922353412048,0.9864406779661017,0.45
12,2025-04-11 02:42:35,Andhra Pradesh,Tirupati,Healthcare,Wipro,XSS,4,High,File Server,Microsoft Sentinel,HR Executive,20.27,97,123,9012110,2224,Threat Hunting,Ongoing Investigation,NCIIPC,0.4,0.9007480367352535,0.26831550802139037,0.22193315989593757,0.4,0.48
13,2024-09-21 11:47:07,Andhra Pradesh,Kakinada,Government,Reliance Retail,XSS,5,High,Web Application,SentinelOne,Finance Manager,53.59,507,300,150002,9855,Threat Hunting,Mitigated,CERT-In,0.5,0.010016238419723147,0.7137700534759359,0.9854912947768661,1.0,0.52
14,2025-10-26 17:17:10,Andhra Pradesh,Kakinada,Telecommunications,Wipro,SQL Injection,6,High,HRMS,Fortinet FortiGate,HR Executive,64.65,695,190,3279112,2965,Endpoint Isolation,Contained,NCIIPC,0.6,0.3245235517392075,0.8616310160427808,0.29607764658795277,0.6271186440677966,0.56
