Incident_ID,Timestamp,State,City,Industry,Organization,Attack_Type,Attack_Severity,Threat_Severity,Target_System,Security_Tools_Used,User_Role,Data_Compromised_GB,Attack_Duration_Min,Response_Time_Min,Financial_Loss_INR,Affected_Users,Mitigation_Method,Outcome,Reporting_Agency
1,2024-03-24 15:40:40,Andhra Pradesh,Visakhapatnam,Retail,Airtel,XSS,5,High,Payment Gateway,Fortinet FortiGate,HR Executive,6.72,282,213,920765,2620,Patch Applied,Mitigated,State Cyber Crime Cell
2,2025-11-13 10:51:23,Tamil Nadu,Salem,Healthcare,SBI,Insider Threat,3,Medium,HRMS,CrowdStrike Falcon,Employee,0.32,99,228,1606331,2334,Patch Applied,Contained,State Cyber Crime Cell
3,2025-08-20 03:22:22,Gujarat,Surat,Telecommunications,Airtel,Data Breach,10,High,Cloud Infrastructure,SentinelOne,Finance Manager,35.87,47,245,8892850,9258,Backup Restored,Contained,NCIIPC
4,2025-06-03 05:11:17,Kerala,Thiruvananthapuram,Telecommunications,Airtel,Phishing,7,High,Web Application,CrowdStrike Falcon,Database Administrator,51.43,543,253,4443739,2792,Backup Restored,Mitigated,NCIIPC
5,2024-05-26 20:22:07,Telangana,Hyderabad,Telecommunications,SBI,Insider Threat,8,High,Cloud Infrastructure,Sophos Intercept X,Network Engineer,29.2,26,177,8455513,983,MFA Enabled,Ongoing Investigation,Internal SOC
6,2024-12-11 06:04:44,Kerala,Thiruvananthapuram,Manufacturing,SBI,Phishing,8,High,Web Application,Palo Alto Cortex XDR,System Administrator,73.55,559,83,402468,4205,Backup Restored,Mitigated,NCIIPC
7,2024-10-02 18:49:30,Gujarat,Vadodara,Healthcare,HDFC Bank,Credential Theft,1,Low,Email Server,Cisco Secure Endpoint,Database Administrator,8.32,532,37,1282856,8960,Endpoint Isolation,Contained,State Cyber Crime Cell
8,2024-11-17 14:51:13,Maharashtra,Nagpur,Banking,LIC,Zero-Day Exploit,8,High,Web Application,Sophos Intercept X,Employee,2.67,352,292,2465653,6101,Network Isolation,Contained,CERT-In
9,2025-08-22 23:32:19,Kerala,Thiruvananthapuram,Retail,Wipro,Ransomware,7,High,File Server,Fortinet FortiGate,Network Engineer,40.41,681,79,2055988,2737,Endpoint Isolation,Ongoing Investigation,CERT-In
10,2025-11-07 14:03:21,Karnataka,Hubballi,IT Services,Tech Mahindra,Phishing,8,High,Web Application,Cisco Secure Endpoint,Security Analyst,50.2,470,183,8721179,8438,Patch Applied,Mitigated,CERT-In
11,2024-03-13 02:58:40,Kerala,Thiruvananthapuram,Insurance,Infosys,SQL Injection,6,High,Payment Gateway,Splunk Enterprise Security,Database Administrator,17.02,358,296,771834,8205,Password Reset,Resolved,Internal SOC
12,2025-04-11 02:42:35,Andhra Pradesh,Tirupati,Healthcare,Wipro,XSS,4,High,File Server,Microsoft Sentinel,HR Executive,20.27,97,123,9012110,2224,Threat Hunting,Ongoing Investigation,NCIIPC
13,2024-09-21 11:47:07,Andhra Pradesh,Kakinada,Government,Reliance Retail,XSS,5,High,Web Application,SentinelOne,Finance Manager,53.59,507,300,150002,9855,Threat Hunting,Mitigated,CERT-In
14,2025-10-26 17:17:10,Andhra Pradesh,Kakinada,Telecommunications,Wipro,SQL Injection,6,High,HRMS,Fortinet FortiGate,HR Executive,64.65,695,190,3279112,2965,Endpoint Isolation,Contained,NCIIPC
15,2024-10-19 08:41:06,Gujarat,Surat,Healthcare,TCS,Malware,9,High,ERP System,Cisco Secure Endpoint,HR Executive,20.06,582,94,5456189,904,Endpoint Isolation,Contained,NCIIPC
16,2025-05-17 09:53:38,Maharashtra,Nashik,IT Services,Reliance Retail,Data Breach,2,Medium,ATM Network,SentinelOne,Security Analyst,35.02,258,171,4217683,7467,MFA Enabled,Mitigated,CERT-In
17,2025-01-05 17:55:20,Karnataka,Bengaluru,Manufacturing,Airtel,Ransomware,2,Medium,Payment Gateway,Fortinet FortiGate,System Administrator,1.69,145,259,589450,7597,MFA Enabled,Recovered,CERT-In
18,2024-08-09 10:30:30,Delhi,New Delhi,Retail,Wipro,Credential Theft,7,High,Email Server,SentinelOne,Employee,17.22,269,37,8385083,2704,Network Isolation,Contained,State Cyber Crime Cell
19,2024-08-23 03:43:16,Kerala,Thiruvananthapuram,Manufacturing,Infosys,DDoS,3,High,File Server,CrowdStrike Falcon,Employee,57.34,208,276,7477481,8933,MFA Enabled,Resolved,CERT-In
20,2024-02-16 17:18:45,Gujarat,Vadodara,Retail,NIC,Zero-Day Exploit,7,High,VPN Gateway,Cisco Secure Endpoint,Security Analyst,59.87,123,234,2631136,8085,Patch Applied,Resolved,Internal SOC
21,2024-11-09 12:35:39,Tamil Nadu,Chennai,Banking,Tech Mahindra,Zero-Day Exploit,1,Low,Payment Gateway,Cisco Secure Endpoint,Employee,18.49,85,111,751987,4044,Endpoint Isolation,Mitigated,Internal SOC
22,2025-02-04 09:31:36,Maharashtra,Mumbai,Telecommunications,NIC,Ransomware,2,Medium,HRMS,IBM QRadar,Database Administrator,21.33,227,171,3775375,8369,Endpoint Isolation,Ongoing Investigation,Internal SOC
23,2024-08-10 18:04:29,Gujarat,Ahmedabad,Manufacturing,NPCI,Business Email Compromise,2,Medium,Database Server,Microsoft Sentinel,Employee,73.78,53,259,7769270,5786,Firewall Rules Updated,Ongoing Investigation,State Cyber Crime Cell
24,2025-01-29 23:30:03,Maharashtra,Mumbai,Energy,LIC,Insider Threat,6,Medium,Database Server,IBM QRadar,Database Administrator,16.16,118,29,3066487,6866,Patch Applied,Ongoing Investigation,Internal SOC
25,2024-01-26 01:56:59,Andhra Pradesh,Visakhapatnam,Education,Infosys,Data Breach,3,Medium,VPN Gateway,IBM QRadar,Finance Manager,59.2,348,49,6839164,981,Firewall Rules Updated,Resolved,CERT-In
26,2024-12-07 08:23:44,West Bengal,Kolkata,Government,Infosys,Credential Theft,2,Medium,Payment Gateway,Microsoft Sentinel,Employee,10.25,377,26,210079,4783,Backup Restored,Ongoing Investigation,State Cyber Crime Cell
27,2025-12-19 07:06:15,Tamil Nadu,Coimbatore,IT Services,Infosys,Ransomware,1,Low,File Server,Microsoft Defender XDR,HR Executive,4.54,122,38,9162286,4318,Endpoint Isolation,Recovered,State Cyber Crime Cell
28,2024-08-12 17:28:51,Delhi,New Delhi,Telecommunications,NPCI,Phishing,3,Medium,Payment Gateway,Cisco Secure Endpoint,HR Executive,63.52,627,22,98635,4824,Password Reset,Ongoing Investigation,Internal SOC
29,2025-08-02 02:33:04,Odisha,Bhubaneswar,Retail,LIC,Zero-Day Exploit,6,High,Database Server,IBM QRadar,System Administrator,33.46,620,58,6060725,7007,Threat Hunting,Mitigated,Internal SOC
30,2025-06-06 07:40:26,Gujarat,Ahmedabad,Government,Wipro,Ransomware,1,Medium,Database Server,Microsoft Sentinel,Finance Manager,19.68,650,20,1751122,4436,Password Reset,Contained,State Cyber Crime Cell
31,2024-03-13 01:16:55,Andhra Pradesh,Tirupati,Insurance,NIC,XSS,5,High,Database Server,Cisco Secure Endpoint,Employee,27.21,430,134,5582947,4705,MFA Enabled,Ongoing Investigation,Internal SOC
32,2025-10-12 08:39:05,Andhra Pradesh,Kakinada,Telecommunications,LIC,Ransomware,2,Medium,Web Application,Sophos Intercept X,Employee,62.94,461,56,7018575,3440,Network Isolation,Contained,NCIIPC
33,2024-05-10 14:30:23,Karnataka,Hubballi,IT Services,HDFC Bank,Phishing,2,Medium,Database Server,SentinelOne,Database Administrator,13.26,441,141,4514654,9318,Firewall Rules Updated,Recovered,Internal SOC
34,2025-05-31 23:21:17,Maharashtra,Pune,IT Services,TCS,SQL Injection,5,High,VPN Gateway,IBM QRadar,Database Administrator,44.89,33,178,804417,6930,Password Reset,Resolved,Internal SOC
35,2025-03-25 04:06:54,Andhra Pradesh,Vijayawada,Retail,BSNL,Business Email Compromise,9,High,VPN Gateway,Cisco Secure Endpoint,Security Analyst,16.83,469,37,1301678,3547,Password Reset,Ongoing Investigation,CERT-In
36,2024-01-28 16:17:59,Kerala,Kochi,Insurance,HDFC Bank,Business Email Compromise,5,High,Email Server,Sophos Intercept X,HR Executive,52.66,701,111,7977201,6301,Backup Restored,Resolved,NCIIPC
37,2025-05-24 22:18:30,Gujarat,Vadodara,Education,NIC,Business Email Compromise,2,Medium,ATM Network,Splunk Enterprise Security,Security Analyst,6.73,165,115,8608169,6899,MFA Enabled,Mitigated,NCIIPC
38,2025-10-25 23:52:41,Karnataka,Bengaluru,Energy,BSNL,Business Email Compromise,9,High,Web Application,Cisco Secure Endpoint,HR Executive,39.78,103,286,1746698,7444,Network Isolation,Recovered,NCIIPC
39,2025-05-18 05:33:10,Andhra Pradesh,Tirupati,Insurance,NIC,Brute Force,6,High,ATM Network,Fortinet FortiGate,System Administrator,22.36,392,243,2888413,655,Backup Restored,Contained,CERT-In
40,2025-05-25 13:06:24,West Bengal,Kolkata,Government,BSNL,Credential Theft,6,High,Web Application,Cisco Secure Endpoint,Finance Manager,56.63,117,95,1718217,8002,Network Isolation,Recovered,NCIIPC
41,2024-07-26 17:02:41,Delhi,New Delhi,Manufacturing,ICICI Bank,SQL Injection,6,High,Database Server,Microsoft Defender XDR,Finance Manager,70.35,674,218,8703234,2359,Backup Restored,Contained,Internal SOC
